*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 14, 2021 09:08:55

*RUN   1        : 20 IRRIG, PETPEN NO KCB.. MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, PETPEN NO KCB.. MZCER047
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                    NH4 (ppm) at soil dep. (cm):                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    
 2020 267   162     0     0    53.4    51.7     1.8     0.0  125.47  126.15    0.00    0.00    0.00  125.47   93.80    0.00    0.00    0.45     0.3     0.4    0.45    1.67    1.72    1.44    3.93    0.25    0.37    0.20    0.16    0.02    0.02    0.01    0.05    0.70    0.69    0.59    0.61    1.69    1.74    1.45    3.98
 2020 268   163     0     0    53.6    52.0     1.6     0.0  126.32  127.15    0.00    0.00    0.00  126.32   94.50    0.00    0.00    0.43     0.5     0.4    0.49    1.69    1.72    1.45    3.93    0.23    0.28    0.18    0.16    0.02    0.02    0.01    0.05    0.67    0.74    0.55    0.65    1.71    1.74    1.47    3.97
 2020 269   164     0     0    53.6    52.1     1.5     0.0  127.20  128.12    0.00    0.00    0.00  127.20   95.36    0.00    0.00    0.40     0.4     0.4    0.42    1.70    1.73    1.46    3.95    0.22    0.24    0.17    0.16    0.02    0.02    0.01    0.05    0.62    0.66    0.54    0.58    1.72    1.75    1.47    4.00
 2020 270   165     0     0    53.8    52.3     1.5     0.0  128.11  129.09    0.00    0.00    0.00  128.11   96.11    0.00    0.00    0.40     0.4     0.4    0.37    1.71    1.74    1.47    3.98    0.20    0.22    0.16    0.16    0.02    0.02    0.01    0.05    0.60    0.63    0.53    0.53    1.73    1.76    1.48    4.03
 2020 271   166     0     0    54.0    52.6     1.4     0.0  129.04  130.06    0.00    0.00    0.00  129.04   96.81    0.00    0.00    0.40     0.4     0.4    0.36    1.72    1.75    1.47    4.00    0.18    0.21    0.16    0.16    0.02    0.02    0.01    0.05    0.58    0.61    0.53    0.52    1.74    1.77    1.49    4.05
 2020 272   167     0     0    54.9    53.5     1.4     0.0  129.93  130.95    0.00    0.00    0.00  129.93   96.81    0.00    0.00    0.53     0.5     0.5    0.46    1.73    1.76    1.48    4.03    0.16    0.21    0.16    0.16    0.02    0.02    0.01    0.05    0.69    0.75    0.63    0.62    1.75    1.78    1.49    4.08
 2020 273   168     0     0    55.7    54.3     1.4     0.0  130.76  131.76    0.00    0.00    0.00  130.76   96.81    0.00    0.00    0.63     0.7     0.6    0.56    1.74    1.77    1.49    4.05    0.15    0.21    0.17    0.16    0.02    0.02    0.01    0.05    0.78    0.87    0.73    0.72    1.76    1.79    1.50    4.10
 2020 274   169     0     0    56.5    55.0     1.5     0.0  131.55  132.53    0.00    0.00    0.00  131.55   96.81    0.00    0.00    0.73     0.8     0.7    0.65    1.75    1.78    1.49    4.08    0.14    0.22    0.17    0.17    0.02    0.02    0.01    0.05    0.87    0.99    0.83    0.81    1.77    1.80    1.50    4.12
 2020 275   170     0     0    57.2    55.7     1.5     0.0  132.28  133.23    0.00    0.00    0.00  132.28   96.81    0.00    0.00    0.81     0.9     0.7    0.73    1.76    1.79    1.50    4.10    0.13    0.23    0.17    0.17    0.02    0.02    0.01    0.05    0.94    1.10    0.91    0.90    1.78    1.81    1.51    4.15
 2020 276   171     0     0    57.9    56.4     1.5     0.0  132.95  133.86    0.00    0.00    0.00  132.95   96.81    0.00    0.00    0.87     1.0     0.8    0.80    1.77    1.80    1.50    4.12    0.13    0.23    0.18    0.18    0.02    0.02    0.01    0.05    1.00    1.19    0.99    0.98    1.79    1.82    1.52    4.17
 2020 277   172     0     0    58.6    57.0     1.5     0.0  133.61  134.52    0.00    0.00    0.00  133.61   96.81    0.00    0.00    0.94     1.0     0.9    0.88    1.78    1.81    1.51    4.14    0.12    0.24    0.18    0.18    0.02    0.02    0.01    0.05    1.06    1.28    1.07    1.06    1.80    1.83    1.52    4.19

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 14, 2021 09:08:55

*RUN   2        : 20 IRRIG, PETPEN KCB..... MZCER047 KSRT2001    2
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED
 DATA PATH      :
 TREATMENT  2   : 20 IRRIG, PETPEN KCB..... MZCER047
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                    NH4 (ppm) at soil dep. (cm):                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    
 2020 105     0     0     0    22.1    19.6     2.5     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.80     0.8     0.8    0.80    0.80    0.80    0.80    0.80    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.90    0.90    0.90    0.90    0.90    0.90    0.90    0.90
 2020 106     1     0     0    22.6    20.2     2.4     0.0    0.55    0.64    0.00    0.00    0.00    0.55    0.00    0.00    0.00    0.83     0.8     0.8    0.83    0.83    0.83    0.83    0.83    0.14    0.14    0.12    0.12    0.10    0.10    0.09    0.09    0.96    0.96    0.95    0.95    0.92    0.92    0.91    0.91
 2020 107     2     0     0    23.2    20.9     2.3     0.0    1.11    1.26    0.00    0.00    0.00    1.11    0.00    0.00    0.00    0.86     0.9     0.9    0.86    0.85    0.85    0.85    0.85    0.16    0.16    0.14    0.14    0.09    0.09    0.08    0.08    1.02    1.02    0.99    0.99    0.94    0.94    0.93    0.93
 2020 108     3     0     0    23.7    21.5     2.2     0.0    1.66    1.86    0.00    0.00    0.00    1.66    0.00    0.00    0.00    0.90     0.9     0.9    0.89    0.87    0.87    0.87    0.87    0.18    0.18    0.15    0.15    0.09    0.09    0.07    0.07    1.09    1.08    1.04    1.04    0.96    0.96    0.94    0.94
 2020 109     4     0     0    24.2    22.0     2.2     0.0    2.18    2.42    0.00    0.00    0.00    2.18    0.00    0.00    0.00    0.95     0.9     0.9    0.93    0.90    0.90    0.89    0.89    0.20    0.19    0.15    0.15    0.09    0.09    0.07    0.07    1.14    1.14    1.08    1.08    0.98    0.98    0.95    0.96
 2020 110     5     0     0    24.8    22.6     2.2     0.0    2.73    3.00    0.00    0.00    0.00    2.73    0.00    0.00    0.00    1.00     1.0     1.0    0.97    0.92    0.92    0.90    0.91    0.21    0.21    0.16    0.16    0.09    0.09    0.06    0.06    1.20    1.20    1.13    1.13    1.00    1.00    0.97    0.97
 2020 111     6     0     0    25.4    23.2     2.2     0.0    3.32    3.60    0.00    0.00    0.00    3.32    0.00    0.00    0.00    1.06     1.1     1.0    1.01    0.94    0.94    0.92    0.92    0.22    0.22    0.17    0.17    0.08    0.08    0.06    0.06    1.27    1.27    1.18    1.18    1.02    1.02    0.98    0.98
 2020 112     7     0     0    26.0    23.8     2.2     0.0    3.95    4.23    0.00    0.00    0.00    3.95    0.00    0.00    0.00    1.12     1.1     1.1    1.06    0.96    0.96    0.94    0.94    0.22    0.22    0.17    0.17    0.08    0.08    0.06    0.06    1.34    1.34    1.23    1.23    1.05    1.05    1.00    1.00
 2020 113     8     0     0    26.6    24.5     2.2     0.0    4.59    4.88    0.00    0.00    0.00    4.59    0.00    0.00    0.00    1.19     1.2     1.1    1.11    0.99    0.99    0.95    0.96    0.23    0.23    0.17    0.17    0.08    0.08    0.06    0.06    1.42    1.42    1.29    1.28    1.07    1.07    1.01    1.01
 2020 114     9     0     0    27.3    25.2     2.2     0.0    5.28    5.57    0.00    0.00    0.00    5.28    0.00    0.00    0.00    1.27     1.3     1.2    1.17    1.02    1.02    0.97    0.98    0.23    0.23    0.18    0.18    0.08    0.08    0.06    0.06    1.50    1.50    1.35    1.34    1.10    1.10    1.03    1.03
 2020 115    10     0     0    28.0    25.9     2.2     0.0    6.00    6.30    0.00    0.00    0.00    6.00    0.00    0.00    0.00    1.35     1.3     1.2    1.23    1.04    1.04    0.99    0.99    0.23    0.23    0.18    0.18    0.08    0.08    0.05    0.05    1.59    1.58    1.41    1.41    1.13    1.13    1.04    1.05
 2020 116    11     0     0    28.7    26.6     2.1     0.0    6.70    7.00    0.00    0.00    0.00    6.70    0.00    0.00    0.00    1.43     1.4     1.3    1.29    1.07    1.07    1.01    1.01    0.24    0.24    0.18    0.18    0.08    0.08    0.05    0.05    1.67    1.66    1.47    1.47    1.15    1.15    1.06    1.06
 2020 117    12     0     0    29.4    27.3     2.1     0.0    7.37    7.67    0.00    0.00    0.00    7.37    0.00    0.00    0.00    1.51     1.5     1.3    1.34    1.10    1.10    1.02    1.03    0.24    0.24    0.18    0.18    0.08    0.08    0.05    0.05    1.75    1.74    1.53    1.52    1.18    1.18    1.08    1.08
 2020 118    13     0     0    30.1    28.0     2.1     0.0    8.10    8.41    0.00    0.00    0.00    8.10    0.00    0.00    0.00    1.60     1.6     1.4    1.41    1.13    1.12    1.04    1.04    0.24    0.24    0.18    0.18    0.08    0.08    0.05    0.05    1.84    1.83    1.59    1.59    1.21    1.21    1.09    1.10
 2020 119    14     0     0    30.9    28.8     2.1     0.0    8.91    9.24    0.00    0.00    0.00    8.91    0.00    0.00    0.00    1.70     1.7     1.5    1.48    1.16    1.15    1.06    1.06    0.23    0.23    0.18    0.18    0.08    0.08    0.05    0.05    1.94    1.93    1.67    1.66    1.24    1.24    1.11    1.11
 2020 120    15     0     0    31.8    29.7     2.1     0.0    9.74   10.08    0.00    0.00    0.00    9.74    0.00    0.00    0.00    1.81     1.8     1.6    1.55    1.19    1.19    1.08    1.08    0.23    0.23    0.18    0.18    0.08    0.08    0.05    0.05    2.04    2.03    1.74    1.73    1.27    1.27    1.13    1.13
 2020 121    16     0     0    32.6    30.6     2.1     0.0   10.62   10.98    0.00    0.00    0.00   10.62    0.00    0.00    0.00    1.92     1.9     1.6    1.63    1.22    1.22    1.10    1.10    0.23    0.23    0.17    0.18    0.08    0.08    0.05    0.05    2.15    2.13    1.82    1.81    1.30    1.30    1.15    1.15
 2020 122    17     0     0    33.6    31.6     2.0     0.0   11.58   12.00    0.00    0.00    0.00   11.58    0.00    0.00    0.00    2.05     2.0     1.7    1.72    1.26    1.26    1.12    1.12    0.22    0.22    0.17    0.17    0.08    0.08    0.05    0.05    2.27    2.25    1.91    1.89    1.34    1.34    1.17    1.17
 2020 123    18     0     0    34.6    32.6     2.0     0.0   12.59   13.06    0.00    0.00    0.00   12.59    0.00    0.00    0.00    2.19     2.2     1.8    1.82    1.31    1.30    1.15    1.14    0.21    0.21    0.16    0.16    0.08    0.08    0.05    0.05    2.40    2.38    2.00    1.98    1.38    1.38    1.20    1.19
 2020 124    19     0     0    35.6    33.6     2.0     0.0   13.58   14.07    0.00    0.00    0.00   13.58    0.00    0.00    0.00    2.32     2.3     1.9    1.91    1.35    1.34    1.17    1.16    0.21    0.21    0.16    0.16    0.07    0.08    0.05    0.05    2.52    2.50    2.09    2.07    1.42    1.41    1.22    1.21
 2020 125    20     0     0    36.6    34.6     2.0     0.0   14.57   15.05    0.00    0.00    0.00   14.57    0.00    0.00    0.00    2.44     2.4     2.0    1.99    1.38    1.38    1.19    1.18    0.21    0.21    0.16    0.16    0.07    0.08    0.05    0.05    2.65    2.62    2.18    2.16    1.46    1.45    1.24    1.24
 2020 126    21     0     0    37.6    35.6     2.0     0.0   15.56   16.06    0.00    0.00    0.00   15.56    0.00    0.00    0.00    2.57     2.5     2.1    2.08    1.42    1.42    1.22    1.20    0.21    0.21    0.16    0.16    0.07    0.08    0.05    0.05    2.77    2.75    2.27    2.25    1.50    1.49    1.27    1.26
 2020 127    22     0     0    38.5    36.6     2.0     0.0   16.52   17.00    0.00    0.00    0.00   16.52    0.00    0.00    0.00    2.68     2.7     2.2    2.17    1.46    1.45    1.24    1.23    0.21    0.21    0.16    0.16    0.07    0.08    0.05    0.05    2.89    2.87    2.36    2.33    1.54    1.53    1.29    1.28
 2020 128    23     0     0    39.4    37.4     2.0     0.0   17.40   17.85    0.00    0.00    0.00   17.40    0.00    0.00    0.00    2.79     2.8     2.3    2.24    1.49    1.48    1.26    1.24    0.21    0.22    0.17    0.17    0.08    0.08    0.05    0.05    3.00    2.98    2.44    2.41    1.57    1.56    1.31    1.30
 2020 129    24     0     0    40.3    38.3     2.0     0.0   18.29   18.71    0.00    0.00    0.00   18.29    0.00    0.00    0.00    2.89     2.9     2.4    2.32    1.53    1.52    1.28    1.26    0.22    0.22    0.17    0.17    0.08    0.08    0.05    0.05    3.11    3.08    2.52    2.49    1.60    1.59    1.33    1.31
 2020 130    25     0     0    41.1    39.1     2.0     0.0   19.11   19.51    0.00    0.00    0.00   19.11    0.00    0.00    0.00    2.99     3.0     2.4    2.38    1.56    1.55    1.30    1.28    0.22    0.22    0.17    0.17    0.08    0.08    0.05    0.05    3.21    3.18    2.59    2.56    1.64    1.63    1.35    1.33
 2020 131    26     0     0    41.9    39.8     2.1     0.0   19.89   20.27    0.00    0.00    0.00   19.89    0.00    0.00    0.00    3.08     3.1     2.5    2.45    1.59    1.58    1.31    1.30    0.23    0.23    0.17    0.17    0.08    0.08    0.05    0.05    3.31    3.28    2.66    2.63    1.67    1.66    1.37    1.35
 2020 132    27     0     0    42.6    40.5     2.1     0.0   20.63   20.99    0.00    0.00    0.00   20.63    0.00    0.00    0.00    3.04     3.2     2.6    2.51    1.61    1.60    1.33    1.31    0.23    0.23    0.18    0.18    0.08    0.08    0.05    0.05    3.27    3.43    2.73    2.69    1.69    1.68    1.38    1.37
 2020 133    28     0     0    43.3    41.1     2.1     0.0   21.26   21.58    0.00    0.00    0.00   21.26    0.00    0.00    0.00    2.98     3.3     2.6    2.56    1.64    1.63    1.35    1.33    0.28    0.23    0.18    0.18    0.08    0.08    0.05    0.05    3.25    3.55    2.78    2.74    1.72    1.71    1.40    1.38
 2020 134    29     0     0    43.7    41.6     2.1     0.0   21.74   22.05    0.00    0.00    0.00   21.74    0.00    0.00    0.00    2.94     3.4     2.6    2.61    1.66    1.65    1.36    1.34    0.31    0.23    0.18    0.18    0.08    0.08    0.05    0.05    3.25    3.63    2.82    2.78    1.74    1.73    1.41    1.39
 2020 135    30     0     0    44.2    42.1     2.2     0.0   22.23   22.53    0.00    0.00    0.00   22.23    0.00    0.00    0.00    2.94     3.5     2.7    2.65    1.67    1.66    1.37    1.36    0.33    0.23    0.18    0.18    0.08    0.08    0.05    0.05    3.27    3.69    2.86    2.82    1.75    1.74    1.42    1.41
 2020 136    31     0     0    44.8    42.6     2.2     0.0   22.76   23.04    0.00    0.00    0.00   22.76    0.00    0.00    0.00    2.89     3.6     2.7    2.69    1.69    1.68    1.38    1.37    0.36    0.23    0.18    0.18    0.08    0.08    0.05    0.05    3.25    3.79    2.90    2.87    1.77    1.76    1.44    1.42
 2020 137    32     0     0    45.3    43.1     2.2     0.0   23.33   23.58    0.00    0.00    0.00   23.33    0.00    0.00    0.00    2.52     3.8     2.8    2.74    1.72    1.71    1.40    1.38    0.38    0.23    0.18    0.18    0.08    0.08    0.05    0.05    2.91    4.06    2.95    2.91    1.80    1.79    1.45    1.44
 2020 138    33     0     0    46.0    43.8     2.2     0.0   24.03   24.24    0.01    0.00    0.00   24.03    0.00    0.00    0.00    2.43     4.0     2.8    2.80    1.74    1.73    1.41    1.40    0.43    0.24    0.18    0.18    0.08    0.08    0.05    0.05    2.86    4.20    3.01    2.98    1.82    1.81    1.47    1.45
 2020 139    34     0     0    46.9    44.6     2.2     0.0   24.87   25.08    0.02    0.00    0.00   24.87    0.00    0.00    0.00    2.45     4.1     2.9    2.87    1.78    1.76    1.43    1.42    0.47    0.23    0.18    0.18    0.08    0.08    0.05    0.05    2.92    4.32    3.09    3.05    1.86    1.84    1.49    1.47
 2020 140    35     0     0    47.7    45.5     2.2     0.0   25.77   25.99    0.02    0.00    0.00   25.77    0.00    0.00    0.00    2.52     4.2     3.0    2.95    1.81    1.80    1.46    1.44    0.48    0.23    0.17    0.17    0.08    0.08    0.05    0.05    3.01    4.44    3.17    3.13    1.89    1.88    1.51    1.49
 2020 141    36     0     0    48.7    46.5     2.2     0.0   26.69   26.94    0.02    0.00    0.00   26.69    0.00    0.00    0.00    2.63     4.3     3.1    3.04    1.85    1.84    1.48    1.46    0.49    0.22    0.17    0.17    0.08    0.08    0.05    0.05    3.12    4.55    3.26    3.21    1.93    1.91    1.53    1.51
 2020 142    37     0     0    49.6    47.4     2.2     0.0   27.61   27.86    0.02    0.00    0.00   27.61    0.00    0.00    0.00    1.23     3.4     4.5    3.12    1.89    1.87    1.50    1.48    0.50    0.22    0.17    0.17    0.08    0.08    0.05    0.05    1.73    3.60    4.72    3.29    1.96    1.95    1.55    1.53
 2020 143    38     0     0    50.5    48.2     2.3     0.0   28.55   28.67    0.03    0.00    0.00   28.55    0.00    0.00    0.00    1.24     3.2     4.6    3.37    1.92    1.91    1.52    1.50    0.54    0.30    0.17    0.17    0.08    0.08    0.05    0.05    1.78    3.54    4.79    3.54    2.00    1.99    1.57    1.55
 2020 144    39     0     0    51.4    49.0     2.4     0.0   29.48   29.54    0.03    0.00    0.00   29.48    0.00    0.00    0.00    1.32     3.2     4.7    3.53    1.96    1.94    1.54    1.52    0.55    0.36    0.17    0.17    0.08    0.08    0.05    0.05    1.87    3.58    4.86    3.70    2.04    2.02    1.59    1.57
 2020 145    40     0     0    52.4    50.0     2.4     0.0   30.45   30.47    0.03    0.00    0.00   30.45    0.00    0.00    0.00    1.43     3.3     4.8    3.65    2.00    1.98    1.56    1.54    0.55    0.40    0.16    0.17    0.08    0.08    0.05    0.05    1.98    3.67    4.94    3.82    2.07    2.06    1.62    1.59
 2020 146    41     0     0    53.4    50.9     2.5     0.0   31.40   31.40    0.03    0.00    0.00   31.40    0.00    0.00    0.00    1.55     3.4     4.9    3.74    2.03    2.02    1.59    1.56    0.54    0.42    0.16    0.17    0.08    0.08    0.05    0.05    2.09    3.78    5.04    3.90    2.11    2.09    1.64    1.61
 2020 147    42     0     0    54.3    51.7     2.6     0.0   32.31   32.19    0.03    0.00    0.00   32.31    0.00    0.00    0.00    1.66     3.4     4.9    3.82    2.07    2.05    1.61    1.58    0.54    0.44    0.22    0.17    0.08    0.08    0.05    0.05    2.20    3.88    5.12    3.98    2.15    2.13    1.66    1.63
 2020 148    43     0     0    55.2    52.5     2.7     0.0   33.21   32.98    0.03    0.00    0.00   33.21    0.00    0.00    0.00    1.02     2.9     4.8    4.73    2.10    2.09    1.63    1.60    0.53    0.46    0.26    0.17    0.08    0.08    0.05    0.05    1.56    3.39    5.11    4.90    2.18    2.16    1.68    1.65
 2020 149    44     0     0    56.0    53.2     2.8     0.0   34.08   33.69    0.06    0.00    0.00   34.08    0.00    0.00    0.00    1.04     2.8     4.7    5.14    2.14    2.12    1.65    1.62    0.58    0.51    0.31    0.17    0.08    0.08    0.05    0.05    1.61    3.32    4.98    5.31    2.21    2.20    1.70    1.67
 2020 150    45     0     0    56.8    53.9     2.9     0.0   34.93   34.44    0.07    0.00    0.00   34.93    0.00    0.00    0.00    1.11     2.8     4.6    5.33    2.20    2.15    1.67    1.63    0.59    0.52    0.35    0.17    0.08    0.08    0.05    0.05    1.69    3.35    4.97    5.51    2.27    2.23    1.72    1.69
 2020 151    46     0     0    57.7    54.7     3.0     0.0   35.81   35.27    0.08    0.00    0.00   35.81    0.00    0.00    0.00    1.21     2.9     4.6    5.40    2.32    2.18    1.69    1.65    0.58    0.53    0.37    0.17    0.08    0.08    0.05    0.05    1.79    3.43    5.01    5.57    2.40    2.26    1.74    1.71
 2020 152    47     0     0    58.7    55.7     3.0     0.0   36.81   36.29    0.09    0.00    0.00   36.81    0.00    0.00    0.00    1.36     3.0     4.7    5.50    2.36    2.23    1.71    1.68    0.56    0.52    0.39    0.17    0.08    0.08    0.05    0.05    1.92    3.55    5.10    5.66    2.44    2.30    1.76    1.73
 2020 153    48     0     0    59.8    56.9     2.9     0.0   37.89   37.43    0.09    0.00    0.00   37.89    0.00    0.00    0.00    1.52     3.2     4.8    5.60    2.41    2.27    1.74    1.70    0.53    0.51    0.40    0.16    0.07    0.07    0.05    0.05    2.05    3.69    5.20    5.76    2.48    2.34    1.79    1.75
 2020 154    49     0     0    60.9    58.1     2.8     0.0   39.06   38.70    0.10    0.00    0.00   39.06    0.00    0.00    0.00    1.70     3.3     4.9    5.71    2.46    2.32    1.77    1.72    0.50    0.48    0.40    0.15    0.07    0.07    0.05    0.05    2.20    3.83    5.30    5.86    2.53    2.39    1.81    1.77
 2020 155    50     0     0    62.2    59.5     2.7     0.0   40.31   40.06    0.11    0.00    0.00   40.31    0.00    0.00    0.00    1.90     3.5     5.0    5.84    2.51    2.37    1.80    1.75    0.46    0.45    0.40    0.14    0.06    0.07    0.05    0.05    2.36    3.99    5.42    5.98    2.58    2.44    1.84    1.80
 2020 156    51     0     0    63.4    60.8     2.6     0.0   41.59   41.44    0.12    0.00    0.00   41.59    0.00    0.00    0.00    2.08     3.7     5.1    5.98    2.57    2.42    1.83    1.78    0.43    0.43    0.39    0.13    0.06    0.06    0.04    0.05    2.51    4.14    5.53    6.11    2.63    2.49    1.87    1.82
 2020 157    52     0     0    64.7    62.1     2.7     0.0   42.89   42.66    0.12    0.00    0.00   42.89    0.00    0.00    0.00    2.26     3.9     5.3    6.02    2.62    2.47    1.86    1.80    0.41    0.42    0.38    0.21    0.06    0.06    0.04    0.05    2.67    4.30    5.65    6.23    2.68    2.54    1.90    1.85
 2020 158    53     0     0    66.0    64.2     1.9     0.0   44.21   44.79    0.12    0.00    0.00   44.21    0.00    0.00    0.00    2.09     3.8     5.7    6.20    3.49    2.50    1.88    1.82    0.17    0.17    0.13    0.26    0.06    0.06    0.04    0.05    2.26    3.92    5.79    6.47    3.55    2.56    1.93    1.87
 2020 159    54     0     0    67.4    65.1     2.3     0.0   45.54   45.68    0.12    0.00    0.00   45.54    0.00    0.00    0.00    2.47     3.7     5.5    6.01    3.85    2.85    1.91    1.85    0.27    0.28    0.22    0.32    0.06    0.06    0.04    0.05    2.74    3.98    5.71    6.33    3.91    2.91    1.95    1.89
 2020 160    55     0     0    68.7    66.3     2.4     0.0   46.88   46.89    0.12    0.00    0.00   46.88    0.00    0.00    0.00    3.26     3.9     5.5    5.97    3.91    2.94    1.93    1.87    0.17    0.32    0.28    0.35    0.06    0.06    0.04    0.05    3.43    4.21    5.79    6.32    3.97    3.00    1.97    1.91
 2020 161    56     0     0    70.0    68.1     2.0     0.0   48.23   48.68    0.12    0.00    0.00   48.23    0.00    0.00    0.00    2.91     4.2     5.9    6.12    4.10    3.08    1.95    1.88    0.17    0.17    0.13    0.35    0.06    0.06    0.04    0.05    3.08    4.36    6.02    6.47    4.15    3.14    1.99    1.93
 2020 162    57     0     0    71.3    68.8     2.4     0.0   49.48   49.51    0.15    0.00    0.00   49.48    0.00    0.00    0.00    3.15     4.1     5.8    6.05    4.16    3.55    1.98    1.90    0.28    0.28    0.21    0.38    0.08    0.06    0.04    0.05    3.44    4.39    5.97    6.43    4.24    3.62    2.02    1.95
 2020 163    58     0     0    72.4    69.8     2.6     0.0   50.66   50.52    0.16    0.00    0.00   50.66    0.00    0.00    0.00    3.68     4.2     5.8    6.11    4.19    3.59    2.00    1.93    0.20    0.33    0.27    0.39    0.09    0.07    0.04    0.05    3.88    4.53    6.03    6.50    4.28    3.66    2.05    1.97
 2020 164    59     0     0    73.6    71.2     2.3     0.0   51.80   51.92    0.16    0.00    0.00   51.80    0.00    0.00    0.00    4.40     4.5     5.9    6.13    4.18    3.59    2.02    1.94    0.19    0.22    0.18    0.40    0.09    0.07    0.05    0.05    4.59    4.70    6.12    6.53    4.28    3.65    2.06    1.99
 2020 165    60     0     0    74.7    72.7     2.0     0.0   52.94   53.42    0.16    0.00    0.00   52.94    0.00    0.00    0.00    5.20     4.7     6.1    6.33    4.20    3.58    2.03    1.95    0.19    0.20    0.15    0.23    0.08    0.07    0.05    0.05    5.39    4.87    6.21    6.55    4.27    3.65    2.08    2.00
 2020 166    61     0     0    75.8    74.0     1.9     0.0   54.07   54.66    0.16    0.00    0.00   54.07    0.00    0.00    0.00    5.43     4.8     6.2    6.48    4.24    3.62    2.06    1.98    0.19    0.19    0.15    0.17    0.07    0.07    0.05    0.05    5.61    4.99    6.30    6.65    4.32    3.69    2.11    2.03
 2020 167    62     0     0    77.1    75.3     1.7     0.0   55.30   56.00    0.16    0.00    0.00   55.30    0.00    0.00    0.00    3.34     5.4     6.6    6.73    4.42    3.75    2.09    2.00    0.17    0.18    0.14    0.15    0.07    0.07    0.05    0.05    3.52    5.53    6.71    6.88    4.48    3.82    2.13    2.05
 2020 168    63     0     0    78.4    76.2     2.2     0.0   56.60   56.86    0.16    0.00    0.00   56.60    0.00    0.00    0.00    4.45     5.3     6.5    6.60    4.46    3.78    2.14    2.01    0.28    0.28    0.22    0.22    0.08    0.06    0.04    0.05    4.73    5.56    6.72    6.82    4.54    3.84    2.18    2.06
 2020 169    64     0     0    79.7    78.0     1.7     0.0   57.91   58.69    0.16    0.00    0.00   57.91    0.00    0.00    0.00    5.80     5.6     6.7    6.67    4.45    3.76    2.15    2.03    0.17    0.17    0.13    0.14    0.06    0.06    0.04    0.05    5.97    5.74    6.81    6.81    4.51    3.82    2.20    2.07
 2020 170    65     0     0    80.9    79.3     1.6     0.0   59.23   60.04    0.16    0.00    0.00   59.23    0.07    0.00    0.00    6.03     5.7     6.8    6.80    4.50    3.81    2.19    2.05    0.17    0.17    0.13    0.13    0.06    0.06    0.04    0.05    6.20    5.85    6.91    6.93    4.56    3.87    2.23    2.10
 2020 171    66     0     0    82.0    80.4     1.7     0.0   60.50   61.29    0.16    0.00    0.00   60.50    0.23    0.00    0.00    6.23     5.7     6.9    6.90    4.55    3.86    2.21    2.08    0.15    0.17    0.13    0.13    0.06    0.06    0.04    0.05    6.39    5.92    7.00    7.04    4.61    3.92    2.26    2.13
 2020 172    67     0     0    83.0    81.3     1.7     0.0   61.67   62.41    0.16    0.00    0.00   61.67    0.45    0.00    0.00    6.36     5.8     6.9    6.99    4.59    3.90    2.24    2.10    0.15    0.18    0.14    0.14    0.06    0.07    0.04    0.05    6.51    5.95    7.07    7.13    4.66    3.97    2.28    2.15
 2020 173    68     0     0    82.7    81.0     1.7     0.0   62.80   63.51    0.16    0.00    0.00   62.80    1.81    0.00    0.00    5.99     5.4     6.8    7.05    4.63    3.94    2.27    2.13    0.13    0.18    0.14    0.14    0.07    0.07    0.05    0.05    6.12    5.57    6.98    7.20    4.70    4.01    2.31    2.17
